query_idx,query_category,query_text,p_at_k,hits,k,retrieved_categories,model,alpha
2389,HOME_BED_AND_BATH,Stone & ♛ Marbury 84 Poutre de Traitement pour fenêtre Bleu Marine . a product photo of marbury window treatments . Grand | Porte | Clips | Tissé | Suspensions | Ikea | Transparent | pouces | Bohème |,0.4,2,5,"['HOME_BED_AND_BATH', 'LAMP', 'HOME_BED_AND_BATH', 'HOME_FURNITURE_AND_DECOR', 'CHAIR']",base,0.6
5492,OTTOMAN,"Amazon Brand – Stone & Beam Andover Modern Rectangle Ottoman, 32""W, Grey . 81.28 cm 宽 x 63.50 cm 深 x 53.34 cm 高；座椅深度：63.50 cm 深；座椅靠背高度：53.34 cm 高；腿高度：10.80 cm 高 | 硬木松木框架上的防污聚酯面料 | 流线型设计是现代设计的标志 | 精心制作",0.0,0,5,"['CHAIR', 'HOME_FURNITURE_AND_DECOR', 'HOME_FURNITURE_AND_DECOR', 'SOFA', 'HOME_FURNITURE_AND_DECOR']",base,0.6
2651,HOME_BED_AND_BATH,"AmazonBasics 7-Piece Bed-in-A-Bag - Full/Queen, Navy Simple Plaid (Renewed) . Includes 86 x 90 inch comforter, 90 x 102 inch flat sheet, 60 x 80 inch fitted sheet, two 20 x 26 inch shams, and two 20 x",0.4,2,5,"['HOME_BED_AND_BATH', 'HOME_BED_AND_BATH', 'FLAT_SHEET', 'FLAT_SHEET', 'FLAT_SHEET']",base,0.6
3979,HOME,"[Amazonブランド] Umi.(ウミ) 強力粘着フック 壁掛けフック コートフック タオル掛け キッチン 洗面所浴室 ステンレス, A7060H3-2 . 【穴開け不要】：強力な粘着力があり、取り外すのも簡単です。防水設計があるので、お風呂場や洗面所などのところで使用できます。 | 【痕跡残らず】：アンカーを使うことは必要ないため、壁を傷つけません。そして取り外した後、痕跡がありません。 | ",1.0,5,5,"['HOME', 'HOME', 'HOME', 'HOME', 'HOME']",base,0.6
7850,CELLULAR_PHONE_CASE,"Amazon Brand - Solimo Designer Unicorn Texture UV Printed Soft Back Case Mobile Cover for Coolpad Note 6 . Snug fit for Coolpad Note 6, with perfect cut-outs for volume buttons, audio and charging por",1.0,5,5,"['CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE']",base,0.6
286,CELLULAR_PHONE_CASE,Amazon Brand - Solimo Designer Color Board 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy J4 Plus . 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy J4 Plus | Easy to put & take of,1.0,5,5,"['CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE']",base,0.6
1426,CELLULAR_PHONE_CASE,Amazon Brand - Solimo Designer Red Dress Lady 3D Printed Hard Back Case Mobile Cover for Oppo A71 . 3D Printed Hard Back Case Mobile Cover for Oppo A71 | Easy to put & take off with perfect cutouts fo,1.0,5,5,"['CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE']",base,0.6
7656,JANITORIAL_SUPPLY,"AmazonBasics Anti-Fatigue Mat Diamond Deckplate Single-Layer Foam 1/2"", 2X3 Black . a product photo of anti - fatigue mat",1.0,5,5,"['JANITORIAL_SUPPLY', 'JANITORIAL_SUPPLY', 'JANITORIAL_SUPPLY', 'JANITORIAL_SUPPLY', 'JANITORIAL_SUPPLY']",base,0.6
1739,CELLULAR_PHONE_CASE,"Amazon Brand - Solimo Designer Tiger 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M31 . Snug fit for Samsung Galaxy M31, with perfect cut-outs for volume buttons, audio and charging ports",1.0,5,5,"['CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE']",base,0.6
4763,CELLULAR_PHONE_CASE,"Amazon Brand - Solimo Designer Daddy's Girl and Mummy World UV Printed Soft Back Case Mobile Cover for LG W30 . Snug fit for LG W30, with perfect cut-outs for volume buttons, audio and charging ports ",1.0,5,5,"['CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE', 'CELLULAR_PHONE_CASE']",base,0.6
5563,GROCERY,"Whole Foods Market Organic Bran Flakes, 500 g . Fibre-rich | Eat on their own or mix with nuts, fruits and seeds for breakfast | Suitable for vegetarians and vegans . a product photo of organic brans ",0.6,3,5,"['GROCERY', 'GROCERY', 'GROCERY', 'NUT_BUTTER', 'BREAD']",base,0.6
4110,BOOT,"Amazon Brand - find. Lace Up Wedge Bootie Ankle Boots, Brown, US 8 . Designed in Europe - please refer to size chart for specific measurements to achieve the perfect fit | An Amazon Brand | Conçu en E",0.8,4,5,"['SHOES', 'BOOT', 'BOOT', 'BOOT', 'BOOT']",base,0.6
7765,OFFICE_PRODUCTS,AmazonBasics Shredder Paper and Credit Cards 8 Slotted Blades 0-9.9 . a product photo of shredder paper shr,0.8,4,5,"['OFFICE_PRODUCTS', 'OFFICE_PRODUCTS', 'OFFICE_ELECTRONICS', 'OFFICE_PRODUCTS', 'OFFICE_PRODUCTS']",base,0.6
